epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_f1
1,0.628348318924164,0.6669844164456233,0.5569222004790055,0.7401315789473685,0.8219832735961768
2,0.5377825493442601,0.7699560676392573,0.5582857759375321,0.7483552631578947,0.8222222222222222
3,0.5137648967833355,0.7954658488063661,0.5515488778289995,0.7598684210526315,0.8302354399008673
4,0.49868857243965414,0.8111115716180372,0.5429833343154505,0.7631578947368421,0.8331273176761435
5,0.4894248866315546,0.8206026193633952,0.550537994033412,0.7615131578947368,0.830423940149626
6,0.4872525521907313,0.8225712864721485,0.5512511839992121,0.7598684210526315,0.8293897882938979
7,0.47792299682724065,0.8333885941644562,0.5471191594475194,0.7615131578947368,0.8308457711442786
8,0.47793244133735524,0.8325182360742706,0.5544901678436681,0.7615131578947368,0.83
9,0.4739646695811173,0.8371187002652519,0.5279059786545602,0.7763157894736842,0.8453105968331303
10,0.4724297870335908,0.8402685676392573,0.5430430424840826,0.7680921052631579,0.8362282878411912
11,0.4702495675662468,0.8427553050397878,0.5417164219053168,0.7713815789473685,0.8391089108910891
12,0.46706261691348305,0.8461952917771882,0.5368971338397578,0.7763157894736842,0.8430160692212608
13,0.4757492791475921,0.8385900198938991,0.5379487746640256,0.774671052631579,0.8419753086419753
14,0.47242531822673206,0.83784399867374,0.5397757134939495,0.7713815789473685,0.8387096774193549
15,0.4716753027048604,0.8404757957559682,0.538381228321477,0.7713815789473685,0.8387096774193549
16,0.4640764028861605,0.8506299734748011,0.5143952259891912,0.7927631578947368,0.8550724637681161
17,0.4647810086607933,0.8462574602122016,0.5316811109844007,0.7779605263157895,0.8452088452088452
