epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_f1
1,0.6410278639402883,0.6500923645320198,0.5633365998142644,0.7398966165413533,0.8114856429463172
2,0.529149394867749,0.7754002463054187,0.5370023250579834,0.7671522556390977,0.8312958435207825
3,0.5147989574691345,0.7888315886699508,0.5574865105905031,0.7546992481203008,0.8229426433915212
4,0.5045217095777906,0.8023783866995075,0.5412904573114294,0.7612781954887218,0.8304668304668305
5,0.49598261611215,0.8104987684729064,0.5318518092757777,0.7695018796992481,0.8376068376068376
6,0.4881009063844023,0.8219673645320198,0.5414770967081973,0.762922932330827,0.8319018404907975
7,0.4917400422795066,0.8160021551724138,0.5582594495070609,0.7612781954887218,0.8261964735516372
8,0.48038454841950845,0.8312038177339902,0.5488829110798082,0.762922932330827,0.8281053952321205
9,0.48390225243979484,0.8290871305418719,0.5762704955904108,0.7290883458646616,0.8015463917525772
10,0.4776520066220185,0.8352062807881773,0.5526150512067896,0.7546992481203008,0.8220551378446114
11,0.4745024930814217,0.8386699507389163,0.5272763763603411,0.7826597744360901,0.8470012239902079
12,0.47238886433428734,0.8380157019704434,0.5221903794690183,0.7843045112781954,0.8502415458937198
13,0.4711354747414589,0.8406711822660098,0.5176110753887578,0.7892387218045113,0.8540410132689988
14,0.4694482147179801,0.842518472906404,0.5311095338118704,0.7760808270676691,0.8401486988847583
15,0.46656827371695947,0.8454433497536946,0.5170873591774389,0.7892387218045113,0.8533333333333333
16,0.4668178178113082,0.8442118226600985,0.5070390905204573,0.8056860902255639,0.8673835125448028
17,0.4652783169314779,0.8497921798029557,0.5055832031526064,0.8056860902255639,0.8683274021352312
18,0.4668456832396573,0.8424799876847291,0.5002295578780928,0.8007518796992481,0.8671328671328672
19,0.4610581572713523,0.852794027093596,0.5103160880113903,0.7991071428571428,0.8619447779111643
20,0.46098927485531777,0.851870381773399,0.5035242218720285,0.8056860902255639,0.8683274021352312
21,0.45493959455654537,0.856565578817734,0.5104205639738786,0.8007518796992481,0.8636363636363636
22,0.46141676681822746,0.8504079433497537,0.5183397045260981,0.7925281954887218,0.8554070473876062
23,0.45464328214012345,0.8573737684729064,0.5114959745030654,0.794172932330827,0.8571428571428571
24,0.4535221228825635,0.8590286330049262,0.5106378730974699,0.7974624060150376,0.8595641646489103
25,0.45478953292657587,0.8577586206896551,0.519432467849631,0.7958176691729323,0.8574908647990256
26,0.454818494617939,0.8589901477832512,0.5349997062432138,0.7843045112781954,0.8476658476658476
27,0.45563670838701315,0.8560267857142857,0.5156034921344957,0.7974624060150376,0.8595641646489103
28,0.4502289852705495,0.8626847290640394,0.5111339343221564,0.7974624060150376,0.859903381642512
