epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_F1_score,val_sensitivity,val_specificity,val_MAcc
1,0.39482886321616895,0.48603219696969696,0.3750913706090715,0.45972222222222225,0.0,0.0,1.0,0.5
2,0.38705024032881763,0.49834280303030304,0.375319951110416,0.45972222222222225,0.0,0.0,1.0,0.5
3,0.38587466966022144,0.5044981060606061,0.3755107621351878,0.45972222222222225,0.0,0.0,1.0,0.5
4,0.38343392538301874,0.5149147727272727,0.3756797711054484,0.45972222222222225,0.0,0.0,1.0,0.5
5,0.38130678010709357,0.5321969696969697,0.37583029601309037,0.45972222222222225,0.0,0.0,1.0,0.5
6,0.3788633039503386,0.5392992424242424,0.3759663469261593,0.45972222222222225,0.0,0.0,1.0,0.5
7,0.37591028755361383,0.5478219696969697,0.3760819368892246,0.45972222222222225,0.0,0.0,1.0,0.5
8,0.3738437340115056,0.5584753787878788,0.3761721154054006,0.45972222222222225,0.0,0.0,1.0,0.5
9,0.37088216254205414,0.5733901515151515,0.3762373626232147,0.45972222222222225,0.0,0.0,1.0,0.5
10,0.3665275944001747,0.5994318181818182,0.3762739466296302,0.45972222222222225,0.0,0.0,1.0,0.5
11,0.3611998278083223,0.6200284090909091,0.37627894017431474,0.45972222222222225,0.0,0.0,1.0,0.5
12,0.35688051310452545,0.6278409090909091,0.37625009152624345,0.45972222222222225,0.0,0.0,1.0,0.5
13,0.3512395304260832,0.6491477272727273,0.37618501981099445,0.45972222222222225,0.0,0.0,1.0,0.5
14,0.34461832317438995,0.6661931818181818,0.3760828706953261,0.45972222222222225,0.0,0.0,1.0,0.5
15,0.33646444569934497,0.6865530303030303,0.3759630521138509,0.45972222222222225,0.0,0.0,1.0,0.5
16,0.331976187951637,0.6927083333333334,0.3758309218618605,0.45972222222222225,0.0,0.0,1.0,0.5
17,0.3247765510371237,0.7071496212121212,0.37568846013810897,0.45972222222222225,0.0,0.0,1.0,0.5
18,0.31777608214002667,0.7196969696969697,0.3755393856101566,0.45972222222222225,0.0,0.0,1.0,0.5
19,0.31163852594115515,0.7367424242424242,0.3753849102391137,0.45972222222222225,0.0,0.0,1.0,0.5
20,0.3058486544724667,0.740530303030303,0.3752194543679555,0.45972222222222225,0.0,0.0,1.0,0.5
21,0.2999151150385539,0.7514204545454546,0.3750547236866421,0.45972222222222225,0.0,0.0,1.0,0.5
22,0.29534182674957044,0.7616003787878788,0.3748890625105964,0.48038194444444443,0.5747800586510263,0.7153284671532847,0.17025440313111545,0.4427914351422001
23,0.29077196934006433,0.7720170454545454,0.3747224575943417,0.5402777777777777,0.6820161792159303,1.0,0.0,0.5
24,0.28452438387003814,0.7772253787878788,0.3745335208045112,0.5402777777777777,0.6820161792159303,1.0,0.0,0.5
25,0.28257121100570215,0.7774621212121212,0.3743276099363963,0.5402777777777777,0.6820161792159303,1.0,0.0,0.5
26,0.27832476930184796,0.7833806818181818,0.37409699625439113,0.5402777777777777,0.6820161792159303,1.0,0.0,0.5
27,0.2733482393351468,0.7919034090909091,0.373848385281033,0.5402777777777777,0.6820161792159303,1.0,0.0,0.5
28,0.27088304134932434,0.7919034090909091,0.3735819127824571,0.5402777777777777,0.6820161792159303,1.0,0.0,0.5
29,0.2674944120826143,0.7973484848484849,0.3732953800095452,0.5402777777777777,0.6820161792159303,1.0,0.0,0.5
30,0.2656577057910688,0.796875,0.37299494942029315,0.5402777777777777,0.6820161792159303,1.0,0.0,0.5
31,0.2636059513597777,0.8004261363636364,0.3726751771238115,0.5402777777777777,0.6820161792159303,1.0,0.0,0.5
32,0.2577322220260447,0.8016098484848485,0.37233879499965244,0.5402777777777777,0.6820161792159303,1.0,0.0,0.5
33,0.25439128776391345,0.8122632575757576,0.3719847235414717,0.5402777777777777,0.6820161792159303,1.0,0.0,0.5
34,0.2541363447001486,0.8151041666666666,0.3716141680876414,0.5402777777777777,0.6820161792159303,1.0,0.0,0.5
35,0.2525576994274602,0.8148674242424242,0.37123420503404403,0.5402777777777777,0.6820161792159303,1.0,0.0,0.5
36,0.2527816236922235,0.8153409090909091,0.3708423972129822,0.5402777777777777,0.6820161792159303,1.0,0.0,0.5
37,0.24649190135074384,0.8151041666666666,0.37043309542867875,0.5402777777777777,0.6820161792159303,1.0,0.0,0.5
38,0.24374993551861157,0.8191287878787878,0.37000564403004116,0.5402777777777777,0.6820161792159303,1.0,0.0,0.5
39,0.24705040590329605,0.8203125,0.3695647617181142,0.5402777777777777,0.6820161792159303,1.0,0.0,0.5
40,0.24167786132205615,0.8184185606060606,0.36911241213480633,0.5402777777777777,0.6820161792159303,1.0,0.0,0.5
41,0.24186093292453073,0.8243371212121212,0.36865408884154427,0.5402777777777777,0.6820161792159303,1.0,0.0,0.5
42,0.23896604053901904,0.8207859848484849,0.36819124552938676,0.5402777777777777,0.6820161792159303,1.0,0.0,0.5
