epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_f1
1,0.8252214098798818,0.5265086206896552,0.5954356301914562,0.7840909090909091,0.8654970760233919
2,0.7647480339839541,0.5388362068965517,0.6117578148841858,0.7329545454545454,0.820618556701031
3,0.7312191704223896,0.5712068965517242,0.6167628873478282,0.7159090909090909,0.8042105263157895
4,0.7131424420866473,0.5843534482758621,0.5927566506645896,0.7414772727272727,0.8278688524590164
5,0.7108222116684092,0.587198275862069,0.6038393053141508,0.71875,0.8067226890756303
6,0.6917919119884228,0.598103448275862,0.6278220956975763,0.6875,0.774617067833698
7,0.6738456300620375,0.6049137931034483,0.5884589444507252,0.7414772727272727,0.8271604938271605
8,0.6649948331816443,0.6155603448275861,0.6067430593750693,0.6931818181818182,0.7818574514038876
9,0.6661448203284165,0.618103448275862,0.6106439720500599,0.6903409090909091,0.7782608695652176
10,0.6508219404467221,0.6252586206896551,0.5813013423572887,0.7301136363636364,0.8166666666666665
11,0.6441808381984974,0.6368965517241378,0.6014968752861023,0.7017045454545454,0.7878787878787878
12,0.6298473543134229,0.6492241379310345,0.5809942158785734,0.7414772727272727,0.8257261410788381
13,0.6273593964247868,0.6549999999999999,0.613783061504364,0.7045454545454546,0.7877461706783369
14,0.6215137366590828,0.6565517241379311,0.6346184882250699,0.6704545454545454,0.7550561797752808
15,0.6218397676944732,0.6650862068965517,0.5494302782145414,0.7528409090909091,0.8373983739837398
16,0.6086116287215003,0.670603448275862,0.6237219951369546,0.6846590909090909,0.7688888888888887
17,0.6179930894539274,0.6627586206896552,0.6133516918529164,0.6988636363636364,0.7824175824175824
18,0.6113371263290274,0.6736206896551724,0.5684292316436768,0.7414772727272727,0.8235294117647058
19,0.6042347289364913,0.6843965517241379,0.5279140282760967,0.7755681818181818,0.8565737051792829
20,0.6077851439344472,0.6810344827586207,0.6405175870115106,0.6676136363636364,0.7511312217194571
21,0.5992752231400589,0.6865086206896552,0.5530578683723103,0.7443181818181818,0.826722338204593
22,0.5976734496396163,0.6885775862068966,0.6288620070977644,0.6704545454545454,0.7539503386004514
23,0.598825972039124,0.679698275862069,0.5854646834460172,0.7329545454545454,0.814498933901919
24,0.6024852041540475,0.6848275862068965,0.5261508930813182,0.7670454545454546,0.8484848484848486
25,0.5948973711194663,0.6867241379310345,0.5660971972075376,0.7471590909090909,0.8270042194092827
26,0.5917787453223919,0.6912931034482759,0.5349223451180891,0.7585227272727273,0.8408163265306122
27,0.595962926642648,0.686551724137931,0.5388879342512651,0.7585227272727273,0.8388429752066116
28,0.5935641050338745,0.7014655172413794,0.590021014213562,0.7102272727272727,0.7939262472885034
29,0.5934437827817325,0.6956465517241379,0.566435225985267,0.7386363636363636,0.8195329087048833
30,0.5900754737442937,0.6953879310344827,0.5696108151565898,0.7329545454545454,0.814498933901919
31,0.5813816800199706,0.6980172413793104,0.5482090196826241,0.7556818181818182,0.8357588357588357
32,0.5865508404271356,0.6910344827586207,0.5957944880832325,0.7130681818181818,0.7956521739130435
33,0.5844205650789984,0.701853448275862,0.5876825262199749,0.7130681818181818,0.7965367965367965
34,0.5934622585773468,0.6935775862068965,0.5265257114713843,0.7642045454545454,0.8448979591836735
35,0.5818631092022205,0.7041379310344827,0.5758695846254175,0.7215909090909091,0.8043010752688172
36,0.5851825385258116,0.7029310344827586,0.5673507262359966,0.7386363636363636,0.8195329087048833
37,0.5825852022088808,0.7015086206896551,0.627130535515872,0.6931818181818182,0.7760532150776053
38,0.5832949732911998,0.7067672413793104,0.5284592807292938,0.7670454545454546,0.8459958932238194
39,0.5836068537728539,0.6993103448275862,0.5748491287231445,0.7244318181818182,0.8068669527896996
40,0.5847444295883178,0.7137068965517241,0.5222552066499536,0.7670454545454546,0.8472505091649695
41,0.5834724128246307,0.7076724137931034,0.5546293529597196,0.7528409090909091,0.8319327731092436
42,0.5773913317713244,0.7103448275862069,0.591460179198872,0.7244318181818182,0.8060344827586207
43,0.5777267509493335,0.71,0.5452281968160109,0.7670454545454546,0.844074844074844
44,0.5738870224048351,0.7083189655172414,0.5626619295640425,0.7414772727272727,0.8220338983050848
45,0.5698770722438549,0.7218534482758621,0.5388147803870115,0.7670454545454546,0.845360824742268
46,0.5813733604447595,0.7063793103448276,0.5460044145584106,0.7642045454545454,0.8416666666666667
47,0.5742273836300291,0.7076724137931034,0.5767053717916663,0.7301136363636364,0.8111587982832617
48,0.5809958969724589,0.7132327586206897,0.6023434563116594,0.7130681818181818,0.7956521739130435
49,0.5745752367480048,0.719698275862069,0.5130923580039631,0.7727272727272727,0.8513238289205703
50,0.5681280925356108,0.7156034482758621,0.6011303663253784,0.7272727272727273,0.8077753779697624
51,0.5624995346727042,0.7298706896551724,0.5251187248663469,0.7670454545454546,0.8459958932238194
52,0.5730913310215391,0.7192672413793104,0.5252076793800701,0.7670454545454546,0.845360824742268
53,0.5778961276185923,0.7065517241379311,0.6183316870169207,0.7102272727272727,0.7921225382932165
54,0.5721950516618531,0.7201724137931035,0.5372810119932349,0.7613636363636364,0.8399168399168399
55,0.5771095090898974,0.704698275862069,0.5646100017157468,0.7414772727272727,0.8220338983050848
56,0.5721662955037479,0.7246982758620689,0.5480636710470373,0.7528409090909091,0.8319327731092436
57,0.5644422352313996,0.7184913793103449,0.5519264340400696,0.75,0.8294736842105263
58,0.5723547401099369,0.717801724137931,0.6218006339940158,0.7215909090909091,0.8017429193899781
59,0.5767751771828223,0.7147844827586207,0.4809599816799164,0.8068181818181818,0.8801571709233792
60,0.5637444487933455,0.7207327586206896,0.5569372150031003,0.7443181818181818,0.824524312896406
61,0.5661484658718109,0.7192241379310345,0.5708372511646964,0.7329545454545454,0.8137044967880086
62,0.5707340707039011,0.7217241379310345,0.6087841391563416,0.7215909090909091,0.8026030368763558
63,0.5724649943154434,0.7199137931034483,0.5694622316143729,0.7386363636363636,0.8187633262260128
64,0.5671264761480792,0.7235775862068966,0.5189322287386114,0.7784090909090909,0.8553971486761711
