epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_F1_score,val_sensitivity,val_specificity,val_MAcc
1,0.28539375818294027,0.6834239130434783,0.2028521171637944,0.7351190476190477,0.5785536114979385,0.8721804510622421,0.7048543689183523,0.7885174099902972
2,0.24895208361356155,0.721195652173913,0.20307352110033944,0.7038690476190477,0.5800463994181771,0.9398496239894849,0.6640776698900179,0.8019636469397514
3,0.23277977705001832,0.7203804347826087,0.19388241498243242,0.7380952380952381,0.6120481883861228,0.9548872179733167,0.6990291262000189,0.8269581720866678
4,0.2062869169789812,0.7548913043478261,0.19599682589372,0.7708333333333334,0.6329113879062971,0.9398496239894849,0.7339805825100197,0.8369151032497524
5,0.21558907317078632,0.7239130434782609,0.21261565387248993,0.7172619047619048,0.5999999956994051,0.9699248119571484,0.6737864077539071,0.8218556098555277
6,0.19736175115989602,0.7633152173913044,0.1845342797182855,0.8318452380952381,0.6689895420184778,0.7218045112239244,0.8873786407594684,0.8045915759916964
7,0.18223162915395655,0.7730978260869565,0.1673091963554422,0.7946428571428571,0.6491228022264971,0.8345864661026626,0.8097087378483552,0.822147601975509
8,0.18477155883675037,0.7820652173913043,0.12087461760356313,0.8616071428571429,0.7492260013012683,0.9097744360218214,0.8660194174589122,0.8878969267403668
9,0.1631828247529009,0.7733695652173913,0.14495573574233622,0.8273809523809523,0.7089337128108364,0.9248120300056532,0.8233009708578,0.8740565004317266
10,0.17307374140490656,0.7942934782608696,0.13177912700034322,0.8303571428571429,0.7209302277732897,0.9323308269975691,0.8310679611489112,0.8816993940732402
11,0.1687612569850424,0.7891304347826087,0.17281413747973384,0.8095238095238095,0.6724637633391305,0.8721804510622421,0.8135922329939108,0.8428863420280764
12,0.1633184029356293,0.80625,0.1488871949591807,0.8244047619047619,0.6869300863269925,0.8496240600864944,0.8388349514400226,0.8442295057632585
13,0.16220289112433142,0.7804347826086957,0.11550426935510975,0.8556547619047619,0.7283950568436596,0.8872180450460738,0.8582524271678009,0.8727352361069374
