epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_F1_score,val_sensitivity,val_specificity,val_MAcc
1,0.2646753557350325,0.6807065217391305,0.16821027671297392,0.7857142857142857,0.6526315743630194,0.9323308269975691,0.7611650485289094,0.8467479377632392
2,0.21522755039774855,0.74375,0.171470164897896,0.7916666666666666,0.6632390700159265,0.9699248119571484,0.753398058237798,0.8616614350974732
3,0.204171717102113,0.7307065217391304,0.18008200265467167,0.7946428571428571,0.6666666621209998,0.9699248119571484,0.7572815533833538,0.863603182670251
4,0.20375621014315148,0.7728260869565218,0.20236036021794593,0.78125,0.6597938098933203,0.9624060149652326,0.753398058237798,0.8579020366015153
5,0.194795467996079,0.7548913043478261,0.1598608691600107,0.8139880952380952,0.6834733846423275,0.9172932330137373,0.8019417475572438,0.8596174902854905
6,0.19047950752403425,0.7769021739130435,0.17597984886240392,0.8184523809523809,0.6892655319932014,0.9172932330137373,0.8077669902755773,0.8625301116446573
7,0.1891938503669656,0.7801630434782608,0.17849234544805118,0.8095238095238095,0.6898395675725643,0.9699248119571484,0.7825242718294655,0.876224541893307
8,0.1782253603572431,0.7741847826086956,0.16409918080483163,0.8199404761904762,0.6894586847126241,0.9097744360218214,0.8116504854211329,0.8607124607214771
9,0.17380715330009874,0.7701086956521739,0.183281589210743,0.8035714285714286,0.6863270731226416,0.9624060149652326,0.7825242718294655,0.872465143397349
10,0.17646792547210402,0.7720108695652174,0.16138296055474452,0.8258928571428571,0.7017543811707875,0.9022556390299056,0.8271844660033556,0.8647200525166305
11,0.16716542593810868,0.8032608695652174,0.16451696098028196,0.8363095238095238,0.7089337128108364,0.9248120300056532,0.8233009708578,0.8740565004317266
12,0.1552780023411564,0.813858695652174,0.19839728976200735,0.8407738095238095,0.7160493778320759,0.8721804510622421,0.8543689320222453,0.8632746915422437
13,0.17226720393999764,0.7828804347826087,0.1458303260927399,0.8377976190476191,0.6666666616354812,0.7067669172400927,0.8932038834778019,0.7999854003589473
14,0.15515606037300567,0.8059782608695653,0.18291149217457997,0.8363095238095238,0.7117647010773358,0.9097744360218214,0.8330097087216891,0.8713920723717552
15,0.15261326833911565,0.7910326086956522,0.18352009200801453,0.8318452380952381,0.7083333285081845,0.8947368420379896,0.8368932038672448,0.8658150229526171
16,0.15924089596323346,0.7959239130434783,0.15696834624257117,0.8556547619047619,0.7300613448178328,0.8947368420379896,0.856310679595023,0.8755237608165063
17,0.15047161073788354,0.8328804347826086,0.14604446398360388,0.8571428571428571,0.7070707020775658,0.7894736841511674,0.8854368931866905,0.8374552886689289
18,0.1512762122180151,0.8144021739130435,0.19891508917013803,0.8273809523809523,0.6959064279547554,0.8947368420379896,0.8252427184305778,0.8599897802342837
19,0.150502588081619,0.8456521739130435,0.2591653831657909,0.8035714285714286,0.6829268246208533,0.9473684209814008,0.7864077669750212,0.8668880939782111
20,0.13551903804359228,0.8472826086956522,0.18525472176926477,0.8422619047619048,0.7033639095040634,0.8646616540703261,0.8466019417311339,0.85563179790073
21,0.1317757619463879,0.8125,0.20142634053315436,0.8422619047619048,0.7051671683927533,0.8721804510622421,0.8446601941583561,0.8584203226102991
22,0.1410990910037704,0.8274456521739131,0.18529386605535234,0.8258928571428571,0.6827794513449129,0.8496240600864944,0.834951456294467,0.8422877581904806
23,0.13364695064399554,0.8339673913043478,0.25681605589176926,0.8125,0.6763848348626849,0.8721804510622421,0.8174757281394665,0.8448280896008542
24,0.11715152658846067,0.8361413043478261,0.18827640529101095,0.8571428571428571,0.7090300953479267,0.7969924811430832,0.8834951456139127,0.840243813378498
25,0.15650708553907663,0.8173913043478261,0.23170446773015319,0.8139880952380952,0.6802325533570511,0.8796992480541579,0.8174757281394665,0.8485874880968122
26,0.1433471358988596,0.8184782608695652,0.23591715904573599,0.8214285714285714,0.6938775462319273,0.8947368420379896,0.8233009708578,0.8590189064478948
27,0.11234575863117757,0.8480978260869565,0.15942814010417178,0.8809523809523809,0.7394366146863222,0.7894736841511674,0.9106796116328023,0.8500766478919848
28,0.11921607262414435,0.845108695652174,0.193475862787593,0.8556547619047619,0.7284344998585268,0.8571428570784103,0.8718446601772457,0.8644937586278281
29,0.13961515183682027,0.8277173913043478,0.17984927192862546,0.8645833333333334,0.7375415232578008,0.8345864661026626,0.8893203883322462,0.8619534272174545
30,0.11694852249777836,0.8603260869565217,0.23296328115143947,0.8601190476190477,0.7388534982544932,0.8721804510622421,0.8737864077500236,0.8729834294061328
31,0.10973775385190611,0.8595108695652174,0.22660840759497314,0.8467261904761905,0.7080745292687398,0.8571428570784103,0.8543689320222453,0.8557558945503279
32,0.11022150088911471,0.8807065217391304,0.2250186421331905,0.8422619047619048,0.7098765383262841,0.8646616540703261,0.8524271844494674,0.8585444192598968
33,0.11546170231278824,0.8453804347826087,0.25607633630612064,0.8407738095238095,0.6956521690210641,0.8421052630945784,0.8504854368766895,0.846295349985634
34,0.11038522603719131,0.8633152173913043,0.20095519737030068,0.8794642857142857,0.7482517432238741,0.8045112781349991,0.9106796116328023,0.8575954448839007
35,0.10555357835053102,0.8744565217391305,0.18037578059981266,0.8720238095238095,0.7260273922501876,0.7969924811430832,0.8970873786233575,0.8470399298832203
36,0.09614441104881141,0.8597826086956522,0.16790457719582177,0.8883928571428571,0.7578947318111419,0.8120300751269149,0.914563106778358,0.8632965909526364
37,0.11944886282410311,0.8383152173913043,0.252417342604271,0.8526785714285714,0.7238095188845554,0.8571428570784103,0.8679611650316901,0.8625520110550502
38,0.1226922482819013,0.8486413043478261,0.1849494109573286,0.8898809523809523,0.7636363585861818,0.7894736841511674,0.9281553397878028,0.8588145119694851
39,0.11023984391890142,0.8440217391304348,0.23663050381998932,0.8735119047619048,0.7483443658824175,0.8496240600864944,0.891262135905024,0.8704430979957591
40,0.1319698173633736,0.779891304347826,0.23256721835406052,0.8571428571428571,0.7238095188845554,0.8571428570784103,0.8679611650316901,0.8625520110550502
41,0.10734648434040339,0.8864130434782609,0.2571786382191238,0.8571428571428571,0.7039473634528652,0.8045112781349991,0.8757281553228013,0.8401197167289003
42,0.10506196611601373,0.8600543478260869,0.23404664690384552,0.8705357142857143,0.739549834285419,0.8646616540703261,0.8776699028955792,0.8711657784829527
43,0.08235824849942457,0.8654891304347826,0.2824532612714739,0.8556547619047619,0.7197452180009333,0.8496240600864944,0.8679611650316901,0.8587926125590922
44,0.11287683876960174,0.8717391304347826,0.23474812407844833,0.8645833333333334,0.732026138828442,0.8421052630945784,0.8815533980411349,0.8618293305678566
45,0.136171478178838,0.871195652173913,0.2595907851077971,0.8630952380952381,0.7312499950966797,0.8796992480541579,0.8640776698861344,0.8718884589701461
46,0.09571701582197262,0.8684782608695653,0.21412610085791953,0.8824404761904762,0.7602739675903077,0.8345864661026626,0.9067961164872467,0.8706912912949547
47,0.12896801791275325,0.842391304347826,0.2894966072358546,0.8497023809523809,0.7124999950978516,0.8571428570784103,0.8582524271678009,0.8576976421231056
48,0.07139069471184327,0.8679347826086956,0.22840832127258182,0.8735119047619048,0.726643593597299,0.7894736841511674,0.9009708737689132,0.8452222789600403
49,0.12121223972543427,0.8383152173913043,0.2192849875206039,0.8794642857142857,0.7422680362230016,0.8120300751269149,0.902912621341691,0.857471348234303
50,0.11502444109191065,0.8445652173913043,0.2247458270617894,0.8764880952380952,0.7199999949529916,0.7443609021996721,0.9165048543511358,0.830432878275404
51,0.10131564611650032,0.86875,0.32376739260784926,0.8511904761904762,0.7147335374129579,0.8571428570784103,0.8601941747405787,0.8586685159094944
52,0.11470336437063372,0.8361413043478261,0.2723893752498996,0.8571428571428571,0.7169811271640758,0.8571428570784103,0.8621359223133566,0.8596393896958834
53,0.10599962167603814,0.83125,0.3009469761025338,0.8556547619047619,0.7073954934514739,0.8270676691107467,0.8679611650316901,0.8475144170712183
54,0.10210634990716758,0.88125,0.2650950025057509,0.8645833333333334,0.732026138828442,0.8421052630945784,0.8815533980411349,0.8618293305678566
55,0.13005261986475924,0.842391304347826,0.2575061477365948,0.8556547619047619,0.7035830569325936,0.8120300751269149,0.8718446601772457,0.8419373676520803
56,0.09552060921635964,0.8720108695652173,0.2315413910186007,0.8794642857142857,0.7386759531634474,0.7969924811430832,0.9067961164872467,0.851894298815165
57,0.1151954076860262,0.842391304347826,0.2968746793811165,0.8586309523809523,0.7133333283500001,0.8045112781349991,0.8834951456139127,0.8440032118744559
58,0.08831998170555934,0.8872282608695652,0.27409224797572407,0.8660714285714286,0.7181208003785866,0.8045112781349991,0.8873786407594684,0.8459449594472337
59,0.09196462901309133,0.8855978260869565,0.2727023525762239,0.8764880952380952,0.7424749113992013,0.8345864661026626,0.8932038834778019,0.8638951747902323
