epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_f1
1,0.6822941853054638,0.6161099137931034,0.5426974374996988,0.7664473684210527,0.8255528255528256
2,0.5521086754983869,0.7546182266009853,0.5439169469632601,0.7704417293233083,0.8304239401496261
3,0.5144909746174154,0.7921413177339902,0.545601581272326,0.7671522556390977,0.8270676691729323
4,0.5086640579433277,0.8001847290640394,0.5295012059964632,0.7786654135338346,0.8372670807453415
5,0.4975157464886534,0.8103448275862069,0.5303501031900707,0.7852443609022557,0.8418430884184308
6,0.49665176662905464,0.8141548645320198,0.5229470510231821,0.7868890977443609,0.8440594059405941
7,0.48802363872528076,0.8255464901477833,0.5205412209033966,0.7852443609022557,0.8430160692212608
8,0.48972739048045255,0.8258158866995075,0.5048103363890397,0.805921052631579,0.856447688564477
9,0.47945174240860444,0.8366302339901478,0.5181805193424225,0.7918233082706767,0.8475836431226765
10,0.4809095163283677,0.8322814039408868,0.518237397858971,0.7918233082706767,0.8479604449938196
11,0.47632303320128344,0.8363993226600985,0.548334400904806,0.7678571428571428,0.8308080808080809
12,0.4767368119852296,0.8356681034482759,0.4980306892018569,0.8082706766917294,0.8646706586826347
13,0.4698367843340183,0.843095751231527,0.49424269481709127,0.8115601503759399,0.8661037394451145
14,0.4729465528808791,0.8367841748768473,0.5026483410283139,0.8125,0.861650485436893
15,0.4710507336361655,0.8416333128078818,0.497834175825119,0.806625939849624,0.8636363636363636
16,0.4650067268260594,0.8467903325123153,0.5147569681468763,0.7967575187969925,0.8522167487684729
17,0.4675981841724494,0.843095751231527,0.514048347347661,0.7892387218045113,0.8496894409937887
18,0.46415461497060184,0.8477139778325123,0.49863497991310923,0.8132048872180452,0.8671497584541064
19,0.4581354288705464,0.8549876847290641,0.4818602502346039,0.8296522556390977,0.8820754716981132
20,0.4614802264961703,0.8477139778325123,0.4848488710428539,0.8280075187969925,0.8796185935637664
21,0.46409341024941414,0.8489455049261083,0.48560135772353724,0.8230733082706767,0.8752997601918465
22,0.4617869656147628,0.8505618842364532,0.486457402768888,0.8181390977443609,0.8718562874251498
23,0.4616739184691988,0.8488685344827587,0.49196141958236694,0.8214285714285715,0.8730350665054414
24,0.45729151008457974,0.8510621921182266,0.49049351403587743,0.8181390977443609,0.8703030303030302
25,0.4571864003765172,0.8537946428571428,0.49966543912887573,0.8115601503759399,0.8641370869033047
26,0.45611191129889983,0.8559883004926109,0.49970457114671407,0.806625939849624,0.860635696821516
27,0.46065908696117075,0.8511391625615764,0.5029213538295344,0.806625939849624,0.8596059113300492
