epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_F1_score,val_sensitivity,val_specificity,val_MAcc
1,0.6689929786850425,0.5002297794117647,0.6599602488910451,0.49300671355498726,0.0,0.0,1.0,0.5
2,0.63550526517279,0.5147058823529411,0.6227249573258793,0.49300671355498726,0.0,0.0,1.0,0.5
3,0.6294879553949132,0.5006893382352942,0.6031342534457936,0.49300671355498726,0.0,0.0,1.0,0.5
4,0.6109011984046768,0.5089613970588235,0.5918396886657266,0.49300671355498726,0.0,0.0,1.0,0.5
5,0.6072280564728905,0.515625,0.5845233798027039,0.49300671355498726,0.0,0.0,1.0,0.5
