epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_F1_score,val_sensitivity,val_specificity,val_MAcc
1,0.1698734979353734,0.6136727078891259,0.12897236916151913,0.7747035573122529,0.7542016806722689,0.6877394636015326,0.8647619047619047,0.7762506841817187
2,0.13798973131090847,0.6889992004264393,0.11892269777529167,0.7760210803689065,0.7539598732840549,0.6839080459770115,0.8704761904761905,0.7771921182266011
3,0.1271735207358403,0.7096548507462687,0.11426287415352734,0.7978013833992095,0.7770700636942675,0.7011494252873564,0.8971428571428571,0.7991461412151067
4,0.12287162833694201,0.7232142857142858,0.11367496170780876,0.7926959815546772,0.7650273224043715,0.6704980842911877,0.9180952380952381,0.794296661193213
5,0.1185268159788936,0.7314432302771855,0.1088816040393078,0.8133234519104083,0.7979166666666665,0.7337164750957854,0.8952380952380953,0.8144772851669404
6,0.11449998083399303,0.7456023454157783,0.10767006332224066,0.7934370882740448,0.7785787847579816,0.7241379310344828,0.8647619047619047,0.7944499178981937
7,0.11620738852157522,0.7348081023454157,0.10734293045419635,0.8010128458498024,0.7906976744186046,0.7490421455938697,0.8552380952380952,0.8021401204159825
8,0.11626163436405694,0.7218816631130064,0.10543981713779045,0.8127470355731226,0.7979274611398963,0.7375478927203065,0.8895238095238095,0.8135358511220581
9,0.11625823261800097,0.7619936034115139,0.10567662661725824,0.8038537549407114,0.7892561983471075,0.7318007662835249,0.878095238095238,0.8049480021893815
10,0.11412603591582668,0.7355743603411514,0.10547976331277327,0.8095355731225296,0.7967145790554415,0.7432950191570882,0.878095238095238,0.8106951286261631
11,0.11956102506660704,0.732442697228145,0.10510351192770583,0.8108530961791831,0.8004052684903749,0.7567049808429118,0.8666666666666667,0.8116858237547893
12,0.11101506339080298,0.7447694562899786,0.10381833960612614,0.8045948616600791,0.7980198019801981,0.7720306513409961,0.8380952380952381,0.8050629447181171
13,0.10998342736665882,0.7533648720682303,0.10072246487393524,0.8286396574440054,0.8179043743641913,0.7701149425287356,0.8876190476190476,0.8288669950738916
14,0.10712515843559557,0.7432369402985075,0.10365449129180475,0.8030714756258235,0.8019230769230768,0.7988505747126436,0.8076190476190476,0.8032348111658456
15,0.10535352721587936,0.767657249466951,0.09902178236480916,0.8216403162055336,0.80625,0.7413793103448276,0.9028571428571428,0.8221182266009852
16,0.10539239294715781,0.7645589019189766,0.10024777709534674,0.8229578392621871,0.8054679284963195,0.7337164750957854,0.9123809523809524,0.8230487137383689
17,0.1028380310579912,0.7661913646055437,0.09624456919052383,0.8280632411067194,0.818913480885312,0.7796934865900383,0.8761904761904762,0.8279419813902573
18,0.10474664748493415,0.7677238805970149,0.09747255141987946,0.810070816864295,0.8077294685990338,0.8007662835249042,0.819047619047619,0.8099069512862616
19,0.10755329106503458,0.7494003198294243,0.09638607648737503,0.8356389986824769,0.8234086242299795,0.7681992337164751,0.9028571428571428,0.835528188286809
20,0.10227045744879922,0.740271855010661,0.09470707155538327,0.8271162714097496,0.8177240684793554,0.7777777777777778,0.8761904761904762,0.8269841269841269
21,0.10197878256440163,0.7651252665245202,0.09755849759235527,0.8252223320158103,0.8153380423814329,0.7739463601532567,0.8761904761904762,0.8250684181718664
22,0.10274650818153994,0.7619269722814499,0.09291742121179898,0.841897233201581,0.8300720906282183,0.7720306513409961,0.9123809523809524,0.8422058018609743
23,0.09909173201269178,0.759661513859275,0.09343385696411133,0.8365859683794467,0.8249744114636642,0.7720306513409961,0.900952380952381,0.8364915161466886
24,0.09995565168670754,0.7607942430703625,0.09260564895741867,0.8337450592885375,0.8238866396761134,0.7796934865900383,0.8876190476190476,0.833656267104543
25,0.09785414139615066,0.7418710021321963,0.09130456546942393,0.8352684453227932,0.8259109311740892,0.7816091954022989,0.8895238095238095,0.8355665024630542
26,0.09703279987199982,0.7781516524520256,0.0913319532392603,0.8375329380764163,0.8265306122448979,0.7758620689655172,0.8990476190476191,0.8374548440065681
27,0.09592570659162393,0.7916777718550106,0.0911371520522869,0.8381093544137023,0.8301507537688442,0.7911877394636015,0.8857142857142857,0.8384510125889436
28,0.09784017405959207,0.7681902985074627,0.09130811634840387,0.8403738471673254,0.8290685772773796,0.7758620689655172,0.9047619047619048,0.840311986863711
29,0.09779606056191138,0.7848813965884861,0.09110074083913457,0.8381093544137023,0.8298086606243705,0.789272030651341,0.8876190476190476,0.8384455391351944
30,0.09657711482870934,0.7700559701492538,0.09092353860085661,0.8409502635046113,0.8316430020283975,0.7854406130268199,0.8971428571428571,0.8412917350848386
31,0.09638182613164631,0.7631596481876333,0.09301212678352992,0.8195405138339921,0.8187919463087249,0.8180076628352491,0.820952380952381,0.819480021893815
32,0.10142858468218525,0.7628931236673774,0.09314410444913489,0.8185935441370223,0.8166023166023165,0.8103448275862069,0.8266666666666667,0.8185057471264368
33,0.09624410873807188,0.7660581023454157,0.08994535921197949,0.8498435441370223,0.8373056994818653,0.7739463601532567,0.9257142857142857,0.8498303229337711
34,0.10344831342461394,0.7642590618336887,0.08927276403163419,0.8432147562582345,0.8363273453093812,0.8026819923371648,0.8838095238095238,0.8432457580733443
35,0.09761500269619387,0.7744869402985075,0.08914259629267635,0.8507905138339921,0.8391752577319589,0.7796934865900383,0.9219047619047619,0.8507991242474001
36,0.10007464143433678,0.76948960554371,0.08717226067727263,0.854001976284585,0.8474576271186441,0.814176245210728,0.8933333333333333,0.8537547892720306
37,0.09737210859780882,0.7685234541577826,0.08709317378022453,0.8454792490118577,0.8396039603960396,0.8122605363984674,0.878095238095238,0.8451778872468527
38,0.09313802615697704,0.7694562899786781,0.08507498861713843,0.8564723320158103,0.846938775510204,0.7950191570881227,0.9180952380952381,0.8565571975916804
39,0.09820166458167247,0.7341417910447762,0.08512135267709241,0.8536314229249011,0.8471528471528471,0.8122605363984674,0.8952380952380953,0.8537493158182814
